start,end,duration_sec,samples,latitude,longitude,acc_spike_frac,acc_spike_count,mean_acc,max_acc,has_spikes,spike_span_sec,reasons
2025-12-12T13:02:54-03:00,2025-12-12T13:08:10-03:00,317,317,-11.698725,-47.155164,0.0252,8,0.006058,0.227407,sim,317,atividade_baixa(0.025<0.08)
2025-12-12T13:08:55-03:00,2025-12-12T13:09:07-03:00,13,13,-11.698439,-47.155048,0.2308,3,0.029409,0.114639,sim,13,duracao_curta(13s<120s)
2025-12-12T13:10:09-03:00,2025-12-12T13:11:39-03:00,91,91,-11.698093,-47.154981,0.0440,4,0.015316,0.685957,sim,91,duracao_curta(91s<120s) | atividade_baixa(0.044<0.08)
2025-12-12T14:24:27-03:00,2025-12-12T14:30:13-03:00,347,347,-11.699739,-47.157369,0.0317,11,0.009039,0.490132,sim,347,atividade_baixa(0.032<0.08)
2025-12-12T19:31:20-03:00,2025-12-12T19:31:58-03:00,39,39,-11.699071,-47.157223,0.1795,7,0.020944,0.169954,sim,39,duracao_curta(39s<120s)
2025-12-12T21:16:27-03:00,2025-12-12T21:18:58-03:00,152,152,-11.699030,-47.157177,0.0197,3,0.006593,0.211558,sim,152,atividade_baixa(0.020<0.08)
2025-12-12T22:15:17-03:00,2025-12-12T22:16:03-03:00,47,47,-11.699118,-47.157208,0.1915,9,0.038528,0.340865,sim,47,duracao_curta(47s<120s)
2025-12-12T22:36:43-03:00,2025-12-12T22:38:09-03:00,87,87,-11.699014,-47.157398,0.1379,12,0.029037,0.622139,sim,87,duracao_curta(87s<120s)
2025-12-13T00:39:16-03:00,2025-12-13T00:43:44-03:00,269,269,-11.699205,-47.157561,0.0260,7,0.011072,0.596428,sim,269,atividade_baixa(0.026<0.08)
2025-12-13T01:39:31-03:00,2025-12-13T01:45:18-03:00,348,348,-11.699025,-47.157411,0.0316,11,0.009723,0.393156,sim,348,atividade_baixa(0.032<0.08)
2025-12-13T03:16:50-03:00,2025-12-13T03:17:48-03:00,59,59,-11.699004,-47.157393,0.3220,19,0.043887,0.270495,sim,59,duracao_curta(59s<120s)
2025-12-13T03:55:17-03:00,2025-12-13T03:58:22-03:00,186,186,-11.699211,-47.157563,0.0215,4,0.004905,0.176575,sim,186,atividade_baixa(0.022<0.08)
2025-12-13T04:18:38-03:00,2025-12-13T04:20:19-03:00,102,102,-11.699290,-47.157385,0.0392,4,0.010404,0.257075,sim,102,duracao_curta(102s<120s) | atividade_baixa(0.039<0.08)
2025-12-13T04:45:09-03:00,2025-12-13T04:47:37-03:00,149,149,-11.699076,-47.157217,0.0268,4,0.008054,0.228352,sim,149,atividade_baixa(0.027<0.08)
2025-12-13T05:09:24-03:00,2025-12-13T05:13:28-03:00,245,245,-11.699081,-47.157536,0.0245,6,0.010652,0.533996,sim,245,atividade_baixa(0.024<0.08)
2025-12-13T08:06:29-03:00,2025-12-13T08:07:04-03:00,36,36,-11.699291,-47.157272,0.0833,3,0.027898,0.336962,sim,36,duracao_curta(36s<120s)
2025-12-13T08:08:12-03:00,2025-12-13T08:08:24-03:00,13,13,-11.699108,-47.157205,0.9231,12,0.186171,0.731416,sim,13,duracao_curta(13s<120s)
2025-12-13T08:46:34-03:00,2025-12-13T08:46:44-03:00,11,11,-11.698959,-47.157124,0.9091,10,0.146091,0.361819,sim,11,duracao_curta(11s<120s)
2025-12-13T08:46:48-03:00,2025-12-13T08:49:28-03:00,161,161,-11.698960,-47.157143,0.0311,5,0.007411,0.213718,sim,161,atividade_baixa(0.031<0.08)
2025-12-13T08:49:41-03:00,2025-12-13T08:53:29-03:00,229,229,-11.698891,-47.157092,0.0480,11,0.013603,0.619552,sim,229,atividade_baixa(0.048<0.08)
2025-12-13T09:34:17-03:00,2025-12-13T09:34:26-03:00,10,10,-11.699903,-47.155156,0.5000,5,0.068572,0.142679,sim,10,duracao_curta(10s<120s)
2025-12-13T09:44:18-03:00,2025-12-13T09:44:32-03:00,15,16,-11.698400,-47.155378,0.0000,0,0.008255,0.028223,nao,0,duracao_curta(16s<120s) | atividade_baixa(0.000<0.08) | sem_spikes
2025-12-13T09:44:42-03:00,2025-12-13T09:45:08-03:00,27,28,-11.698400,-47.155379,0.0714,2,0.010216,0.077980,sim,2,duracao_curta(28s<120s) | atividade_baixa(0.071<0.08)
2025-12-13T09:45:18-03:00,2025-12-13T09:45:33-03:00,16,17,-11.698401,-47.155379,0.0000,0,0.002068,0.003200,nao,0,duracao_curta(17s<120s) | atividade_baixa(0.000<0.08) | sem_spikes
2025-12-13T09:45:36-03:00,2025-12-13T09:46:03-03:00,28,29,-11.698401,-47.155379,0.0345,1,0.006363,0.052874,sim,1,duracao_curta(29s<120s) | atividade_baixa(0.034<0.08)
2025-12-13T09:46:41-03:00,2025-12-13T09:47:04-03:00,24,25,-11.698401,-47.155378,0.0800,2,0.008625,0.061800,sim,2,duracao_curta(25s<120s)
2025-12-13T09:47:14-03:00,2025-12-13T09:47:46-03:00,33,34,-11.698401,-47.155378,0.0588,2,0.010653,0.123635,sim,2,duracao_curta(34s<120s) | atividade_baixa(0.059<0.08)
2025-12-13T09:47:49-03:00,2025-12-13T09:48:00-03:00,12,13,-11.698401,-47.155378,0.0000,0,0.007092,0.034208,nao,0,duracao_curta(13s<120s) | atividade_baixa(0.000<0.08) | sem_spikes
2025-12-13T09:48:03-03:00,2025-12-13T09:48:53-03:00,51,52,-11.698401,-47.155378,0.0000,0,0.004429,0.039296,nao,0,duracao_curta(52s<120s) | atividade_baixa(0.000<0.08) | sem_spikes
2025-12-13T09:49:17-03:00,2025-12-13T09:49:27-03:00,11,12,-11.698402,-47.155378,0.0833,1,0.019179,0.085878,sim,1,duracao_curta(12s<120s)
2025-12-13T09:50:59-03:00,2025-12-13T09:51:32-03:00,34,34,-11.698188,-47.155008,0.8529,29,0.113076,0.331950,sim,34,duracao_curta(34s<120s)
2025-12-13T09:52:23-03:00,2025-12-13T09:53:01-03:00,39,39,-11.698832,-47.155275,0.5897,23,0.089076,0.365145,sim,39,duracao_curta(39s<120s)
2025-12-13T11:03:39-03:00,2025-12-13T11:04:04-03:00,26,26,-11.700213,-47.155386,0.1538,4,0.043508,0.540205,sim,26,duracao_curta(26s<120s)
2025-12-13T11:09:34-03:00,2025-12-13T11:09:47-03:00,14,14,-11.698014,-47.155173,1.0000,14,0.232890,0.597653,sim,14,duracao_curta(14s<120s)
2025-12-13T11:10:12-03:00,2025-12-13T11:10:29-03:00,18,18,-11.698158,-47.155254,0.0556,1,0.010537,0.060154,sim,1,duracao_curta(18s<120s) | atividade_baixa(0.056<0.08)
2025-12-13T11:11:27-03:00,2025-12-13T11:11:49-03:00,23,24,-11.698392,-47.155440,0.0000,0,0.002317,0.004521,nao,0,duracao_curta(24s<120s) | atividade_baixa(0.000<0.08) | sem_spikes
2025-12-13T11:19:53-03:00,2025-12-13T11:20:09-03:00,17,17,-11.698248,-47.155011,1.0000,17,0.201217,0.592998,sim,17,duracao_curta(17s<120s)
2025-12-13T11:21:13-03:00,2025-12-13T11:21:45-03:00,33,33,-11.698973,-47.155375,0.4242,14,0.075958,0.352826,sim,33,duracao_curta(33s<120s)
2025-12-13T11:22:33-03:00,2025-12-13T11:23:21-03:00,49,50,-11.699192,-47.155276,0.6200,31,0.087168,0.428339,sim,42,duracao_curta(50s<120s)
